ID,Summary,Manual_Sleep_Topic
APP1194159,"The aged population accounts for a significant, and increasing, amount of Australia’s health budget. We aim to uncover novel molecular biomarkers that slow the ageing process and maintain good health for longer. We will use innovative DNA and protein analysis to study the molecular ‘clocks’ of young and old populations and to test whether exercise can slow the ageing process. This will underpin the development of evidence-based biomarkers to be used in personalised health interventions.",no
APP1194330,"Gastrointestinal parasites cause billions of infections and hundreds of thousand of deaths globally each year. Even in developed countries, these parasites remain an important public health risk, through the cost of their control, the acute impacts of infection and their contribution to post-infectious irritable bowel syndrome and chronic fatigue. My team employs cutting-edge methods to improve their diagnosis, surveillance, treatment and control.",no
APP1195453,The amount of time and the quality of our sleep affects every aspect of our health and well-being. The amount of time we sleep is maximal in infants and children because it is promotes normal brain development. Sleep problems affect nearly half of all children and adversely affect both learning and blood pressure. The proposed studies will identify and improve treatment of sleep problems to improve overall physical health and quality of life for these children and their families.,yes
APP1195699,"It is very common to get Motor Impairments in many diseases and disorders, such as stroke and multiple sclerosis, and even with ageing. These affect our ability to move and function properly. I will use multidisciplinary expertise in basic, applied and clinical science to answer key questions about mechanisms and management of the Motor Impairments of weakness and fatigue, impaired sensation and balance, and muscle contracture. Results will be rapidly applied in clinical populations.",no
APP1196261,">1million Australian adults have obstructive sleep apnoea (OSA). OSA has several causes. Untreated OSA is associated with major health consequences. <50% of OSA patients tolerate the main therapy, continuous positive airway pressure. New treatments are urgently required. This proposal aims to use and develop novel approaches to identify the causes of OSA on a per patient basis, improve current therapies and management approaches and test if new targeted therapies can be used to treat OSA.",yes
APP1196636,"Insomnia patients have disturbed sleep and symptoms similar to people with depression and anxiety. Treatments are far from optimal and have not progressed since the beginning of the century. My pioneering work identified insomnia patients at risk of depression and anxiety and revealed a potential way of targeting disturbed sleep to resolve emotional distress. Now, my mission is to understand why they are at risk and develop innovative treatments that reduce their risk for depression and anxiety.",yes
APP1197074,"Depression frequently emerges for the first-time during adolescence. This project examines ways to prevent depression in young people by: (i) partnering with schools to deliver broad universal programs to students through the education system, and (ii) treating sleep disturbance, a powerful but non-stigmatised risk factor for onset of depression. Findings from this research will inform innovative ways to address the depression crisis through the optimisation of prevention approaches.",no
APP1197315,"My research will address limitations in our understanding of the impact of sleep characteristics on memory and thinking abilities and biological markers of brain health in older adults, by; 1) exploring these relationships over time, and 2) enabling direct assessment of the effect of improved sleep on memory and thinking, and markers of brain health, following sleep-improvement therapy. My results will contribute to the development of strategies aimed at promoting healthy brain ageing.",yes
APP1197324,"Chronic kidney disease (CKD) is a major cause of death and imposes a substantial burden on individuals and the healthcare system worldwide. In partnership with patients, this project will establish and implement core outcomes and measures. Patient-centred trials will address the research priorities of patients across all stages of CKD including: preventing the progression of CKD, improving fatigue in patients on dialysis, and optimising life participation in kidney transplant recipients.",no
APP1197439,"There are many challenges to the management of sleep disorders. There is mounting evidence that sleep problems promote impaired memory and thinking and ultimately dementia. My research will focus on improving detection and management of sleep disorders using cutting edge technologies in different patient groups with the aim of maximising brain health. This will be achieved by a range of new treatments including clinical trials, digital health approaches and new ways of improving deep sleep.",yes
APP1199363,"The cause(s) of myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) are not well known, but may involve altered function by the component of the cell that produces energy (mitochondria). We will use cutting edge stem cell technology to investigate this in detail and generate vital new knowledge that could identify new targets for the treatment of ME/CFS. We will also use a complex technology to screen a library of drugs to identify those that may be useful in the treatment of ME/CFS.",no
APP1199502,"Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS) is an illness affecting up to 240,000 Australians. The cause of ME/CFS is not known, and there are currently no diagnostic tests or effective treatments. Research suggests that ion channels that transfer calcium within cells are dysfunctional in ME/CFS. Our research will investigate ion channels and calcium transfer using immune cells to help develop biomarkers for the illness and discover better treatments for these patients.",no
APP1200292,"Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS) is a disease diagnosed by symptoms. Our extensive research has led to a hypothesis that ME/CFS results from toxic by-products of energy production in their cells. This problem can be caused by many unique ways, which could explain the diversity of the ME/CFS patient population. We propose to test this hypothesis with a novel personalised experimental design to simultaneously produce a plethora of new knowledge for the field of ME/CFS.",no
APP2001234,This study will evaluate the effects of environmental light exposure on the response of the circadian pacemaker to night shift in a large sample of shift workers. It will refine a novel biomathematical model of the circadian pacemaker to improve predictions of circadian timing for individual shift workers. This prediction will inform personalised recommendations to enhance circadian adaptation to night shift and reduce the negative implications of circadian misalignment on health and safety.,yes
APP2001729,"Obstructive sleep apnoea (OSA) is a highly prevalent nocturnal breathing disorder strongly related to daytime sleepiness, accident risk and reduced quality of life. However, the current severity index, the apnoea-hypopnoea index, poorly predicts daytime sleepiness and vigilance. In this project we elegantly combine physiological insight and artificial intelligence to develop and evaluate novel clinically applicable computational tools for detailed quantification of OSA severity and its symptoms.",yes
APP2001834,"Persistent sleep problems are common during pregnancy/postpartum periods and have significant consequences. Cognitive behavioural interventions are efficacious for improving sleep but are not currently available in perinatal care. This study examines the effectiveness, cost- effectiveness, and implementation potential of an innovative nonpharmacological intervention for better maternal sleep and wellbeing, with high potential for sustainable integration with routine perinatal care.",yes
APP2002454,"Attention Deficit and Hyperactivity Disorder (ADHD) is characterised by inappropriate levels of inattention. ADHD patients also frequently experience sleep disturbances and abnormal daytime sleepiness. We will examine to what extent sleep disturbances can account for ADHD symptoms by examining if the attentional deficits associated with ADHD can be explained by a phenomenon called local sleep, whereby parts of the brain spontaneously fall asleep in the context of a globally awake brain.",yes
APP2003370,"Narcolepsy with cataplexy is a debilitating, life-long sleep-wake disorder, caused by the irreversible loss of the brain peptide 'orexin'. There is no satisfactory and safe treatment. We aim to develop an orexin analogue, delivered directly to the brain of sheep (relevant in size and translatable to patients) by a programmable pump to timely activate the orexin 'wake-up' switch. This innovative precision medicine project will significantly improve the quality of life of narcolepsy patients.",yes
APP2003595,"About 4.6 million Australians will experience PTSD during their life. Having insomnia before or immediately after trauma exposure makes it 2.5-3 times more likely someone will develop PTSD, but no one knows why. This project will, for the first time, propose and test a reason why insomnia increases the risk of PTSD. If successful, we will identify one of the few risk factors that can actually be modified in order to reduce the likelihood of developing PTSD after a trauma.",yes
APP2005188,"My project studies adolescents with cystic fibrosis and explore how mental health issues influence and associate with important health outcomes relating to respiratory health, sleep quality, pain issues, family functioning, financial and social status and ability to manage treatment plans. I will recruit participants from the AREST CF (Australian Respiratory Early Surveillance Team for Cystic Fibrosis) project that studies children with CF from diagnosis.",no
APP2005779,"The two most common clinical sleep disorders, insomnia and obstructive sleep apnea (OSA), affect >4 million Australians, costing Australia over $66 billion annually. People with sleep disorders are receiving care that is far from best practice and is potentially dangerous. This novel partnership study represents a major step towards improving management of sleep disorders in primary care (PC) using new, evidence-based, models of care for insomnia and OSA, designed specifically for PC.",yes
APP2007001,"Almost 1 billion people suffer from sleep apnoea. Unfortunately, the current diagnostic metric relates poorly to the symptoms and comorbidities of sleep apnoea merely measuring the frequency of breathing cessations. We aim to develop machine learning techniques to better estimate sleep apnoea severity. These techniques are implemented to high-end wearables developed in this project. Finally, we aim to design a digital diagnostic platform and create new standardised guidelines for sleep medicine.",yes
APP2008001,Sleep disturbance accelerates age-related memory decline and increases dementia risk. Monitoring the brain during sleep to understand how sleep disturbance underpins memory problems and contribute to dementia risk is of critical importance.  This work will use innovative technology to identify abnormal brain waves that predict memory deficits and evaluate novel treatments that could enhance sleep and improve memory.,yes
APP2008064,"While there is no cure for dementia, we know that almost half the risk for dementia is due to factors that can be tackled from midlife.  My work aims to a) improve understanding of how new emerging risk factors, namely sleep disturbance contribute to dementia onset and progression b) generate robust evidence for new treatments targeting modifiable risks and c) change practices in our health services to develop national standards, timely diagnoses and provision of appropriate treatments and care.",no
APP2008090,"Living organisms adapt to light–dark rhythms using internal clocks. This body clock not only regulates our sleep and feeding behaviour but also our immune system. Disruption of the body clock can increase the risk of developing cancer, diabetes and asthma. We will discover how our body clock regulates our immune cells to allow future development of therapeutic targets to control these diseases.",yes
APP2008157,"Obstructive Sleep Apnoea (OSA) is a very common breathing disorder during sleep that causes low oxygen levels and disturbed sleep. This causes individuals to feel tired, increasing the risk of injury and reducing quality of life. OSA directly affects the heart and increases the risk of high blood pressure, heart attack, heart rhythm disorders, and stroke. This project aims to better understand this connection and to determine whether effective treatment of OSA improves heart health.",yes
APP2008197,"We don't yet understand what causes depression and bipolar disorder or why some people don't get better after treatment. This Investigator Fellowship will allow me to explore whether dysfunction of “biological clocks”—which control the timing of most of our behaviours and bodily functions—are responsible for a number of problems that young people with mood disorders face, including fatigue, depressed mood, sleep/wake cycle irregularities, and bodily symptoms like upset stomach and muscle pain.",yes
APP2008255,"Interstitial lung diseases (ILD) are complex incurable lung scarring conditions, which cause distressing breathlessness, fatigue, and poor quality of life. It is the second most common cause of death due to chronic lung disease in Australia. My program will allow us to predict how the disease worsens over time, to understand how sleep and drug complexity affect health outcomes, and to better treat debilitating shortness of breath and low oxygen levels in people with ILD.",no
APP2008565,Lewy body dementias are characterized by marked swings in attention and arousal known as cognitive fluctuations. We aim to show that disturbances in the biology maintaining the normal balance between wakefulness and sleep underlie this core symptom and use this to identify new disease biomarkers and novel therapeutic targets of Lewy body disease. We apply this to recruit the first prodromal cohort of delirium-onset Lewy body dementia and to improve prediction and treatment of delirium generally.,no
APP2009047,"Anaemia can cause fatigue, lethargy, and impair health outcomes during pregnancy and in children, and affects over 1.7 billion people. I will develop and test innovative new solutions to reduce anaemia in children and pregnant mothers, and use samples from these studies to drive new discoveries that will inform development of next generation improved treatments. Finally, I lead the WHO Collaborating Centre on anaemia control, enabling our findings to be quickly translated into practice. ",no
APP2009264,"My research program will determine whether poor sleep should be a therapeutic target for reducing dementia risk. Using longitudinal cohort studies, I will identify the changes in sleep that most strongly predict the risk of Alzheimer’s disease and dementia. Results will guide targeted sleep interventions to reduce dementia risk and help select at risk subjects for inclusion in dementia prevention trials. ",yes
APP2009295,"We now know that providing clinical care to people with mental health problems that improves their diet, physical activity and sleep, while reducing their smoking, drug and alcohol use is highly beneficial for their mental health as well as their physical health.  Yet this type of care is not typically offered as part of routine mental health care.  My research will produce evidence that addresses this gap to improve the lives of individuals with mental health concerns in Australia and beyond. ",no
APP2011634,"During deep sleep, blood pressure falls and the brain rests. Production of toxic waste also slows while its removal increases. This brain cleaning process during sleep is thought to be crucial for preventing dementia. Obstructive Sleep Apnoea (OSA) is a common condition characterised by marked sleep and blood pressure disturbances. People with OSA have an increased risk for dementia. This study aims to investigate how sleep and blood pressure disturbances affect brain cleaning in people with OSA",yes
APP2011845,"Lactation mastitis is a debilitating inflammatory breast disease occurring in 1 in 5 Australian breastfeeding women. The disease causes lactation insufficiency, localised pain and rapid onset of fever, muscle aches, chills and fatigue, leading many women to use supplementary formula or cease breastfeeding altogether. This project will address key gaps in our understanding of the biological causes of mastitis and lead to improved prevention and treatment of this disease.",no
APP2012569,"The proposed study will compare the health benefits of limiting “when” vs “how much” is eaten on health in individuals at high risk of developing type 2 diabetes. The concept that marked improvements in health can be achieved by aligning food intake with circadian rhythms, without weight loss, is game changing. But we do not yet clearly understand how one performs against the other, or if both are required, in humans, since no trials have been performed. ",no
APP2012772,"Obesity rates continue to soar despite decades of efforts to promote lifestyle changes. Our work points to an important role for the RIPK1 gene in obesity through adipose tissue inflammation and circadian clock disruption. Using unique mouse models, nanoparticle therapies and novel technologies to map genetic reprogramming, we will explore how RIPK1 pathways drive these processes in obesity and provide proof-of-concept for novel anti-obesity therapies. ",no
APP2012828,"Body clock and sleep undergo significant changes during adolescence, a critical phase for the development of depression. In a large sample of adolescents, we propose to test how later timing of the body clock, shorter sleep duration, and irregular sleep timing, are associated with increased depressive symptoms. We will also test how light exposure patterns affect the shift in timing of the body clock. The study will inform the development of evidence-based sleep interventions for adolescents.",yes
APP2013427,"More than 7.4 million Australians suffer from inadequate sleep. Sleep loss doesn't just make us tired; we have shown it also negatively affects mitochondria (""energy powerhouses"") and glucose metabolism (increasing the risk of diabetes). Based on compelling data, this project will discover novel mechanisms responsible for the negative effects of sleep loss and test targeted exercise prescription as a cost-effective strategy to prevent metabolic problems arising from inadequate sleep.",yes
